"Summary by Office of the Registrar General and Census Commissioner, Ministry of Home Affairs, Government of India; literacy rates as % of population.[6][b][c]",,,
State/UT,,2001,2011
A&N islands,,81.3,86.63
Andhra Pradesh,,60.47,67.02
Arunachal Pradesh,,54.34,65.38
Assam,,63.25,72.19
Bihar,,47,61.8
Chandigarh,,81.94,86.05
Chhattisgarh,,64.66,70.28
Dadra and Nagar Haveli,,57.63,76.24
Daman and Diu,,78.18,87.1
Delhi,,81.67,86.21
Goa,,82.01,88.7
Gujarat,,69.14,78.03
Haryana,,67.91,75.55
Himachal Pradesh,,76.48,82.8
Jammu and Kashmir,,55.52,67.16
Jharkhand,,53.56,66.41
Karnataka,,66.06,75.36
Kerala,,90.86,94
Lakshadweep,,86.66,91.85
Madhya Pradesh,,63.74,69.32
Maharashtra,,76.84,82.34
Manipur,,70.5,76.94
Meghalya,,62.56,74.43
Mizoram,,88.8,91.33
Nagaland,,66.59,79.55
Odisha,,63.08,72.87
Puducherry,,81.24,85.85
Punjab,,69.65,75.84
Rajasthan,,60.41,66.11
Sikkim,,68.81,81.42
Tamil Nadu,,73.45,80.33
Tripura,,73.19,80.09
Uttar Pradesh,,56.27,67.68
Uttarakhand,,71.62,78.82
West Bengal,,68.64,76.26
